medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,eosinophilic_oesophagitis
5082651000006117,^ESCTEO508265,,235599003,353158012,Eosinophilic esophagitis,1
353159016,J1017,J101700,235599003,353159016,Eosinophilic oesophagitis,1
